"species","order","site","longitude","latitude","count","adult_body_mass","gestation_length","litter_size","max_longevity","sexual_maturity_age","diet_breadth"
"sp_001","Cetartiodactyla","fb_103",7.27182050900007,59.097357489,1,461900.76,235,1.25,324,668.2,1
"sp_001","Cetartiodactyla","fb_1001",20.7718205090001,52.597357489,1,461900.76,235,1.25,324,668.2,1
"sp_001","Cetartiodactyla","fb_102",6.77182050900007,59.097357489,1,461900.76,235,1.25,324,668.2,1
"sp_001","Cetartiodactyla","fb_104",7.77182050900007,59.097357489,1,461900.76,235,1.25,324,668.2,1
"sp_001","Cetartiodactyla","fb_101",6.27182050900007,59.097357489,1,461900.76,235,1.25,324,668.2,1
"sp_001","Cetartiodactyla","fb_1000",20.2718205090001,52.597357489,1,461900.76,235,1.25,324,668.2,1
"sp_001","Cetartiodactyla","fb_1002",21.2718205090001,52.597357489,1,461900.76,235,1.25,324,668.2,1
"sp_002","Rodentia","fb_1000",20.2718205090001,52.597357489,1,21.11,19.89,5.64,48,76.04,NA
"sp_002","Rodentia","fb_1002",21.2718205090001,52.597357489,1,21.11,19.89,5.64,48,76.04,NA
"sp_002","Rodentia","fb_1001",20.7718205090001,52.597357489,1,21.11,19.89,5.64,48,76.04,NA
"sp_005","Rodentia","fb_1022",-2.22817949099993,52.097357489,1,31.6,24.5,4.94,48,43.27,NA
"sp_005","Rodentia","fb_1018",-4.22817949099993,52.097357489,1,31.6,24.5,4.94,48,43.27,NA
"sp_005","Rodentia","fb_1024",-1.22817949099993,52.097357489,1,31.6,24.5,4.94,48,43.27,NA
"sp_005","Rodentia","fb_1002",21.2718205090001,52.597357489,1,31.6,24.5,4.94,48,43.27,NA
"sp_005","Rodentia","fb_1025",-0.728179490999928,52.097357489,1,31.6,24.5,4.94,48,43.27,NA
"sp_005","Rodentia","fb_1001",20.7718205090001,52.597357489,1,31.6,24.5,4.94,48,43.27,NA
"sp_005","Rodentia","fb_1026",-0.228179490999928,52.097357489,1,31.6,24.5,4.94,48,43.27,NA
"sp_005","Rodentia","fb_1021",-2.72817949099993,52.097357489,1,31.6,24.5,4.94,48,43.27,NA
"sp_005","Rodentia","fb_1019",-3.72817949099993,52.097357489,1,31.6,24.5,4.94,48,43.27,NA
"sp_005","Rodentia","fb_1000",20.2718205090001,52.597357489,1,31.6,24.5,4.94,48,43.27,NA
"sp_005","Rodentia","fb_1017",-4.72817949099993,52.097357489,1,31.6,24.5,4.94,48,43.27,NA
"sp_005","Rodentia","fb_1020",-3.22817949099993,52.097357489,1,31.6,24.5,4.94,48,43.27,NA
"sp_005","Rodentia","fb_1028",0.771820509000072,52.097357489,1,31.6,24.5,4.94,48,43.27,NA
"sp_005","Rodentia","fb_1029",1.27182050900007,52.097357489,1,31.6,24.5,4.94,48,43.27,NA
"sp_005","Rodentia","fb_1027",0.271820509000072,52.097357489,1,31.6,24.5,4.94,48,43.27,NA
"sp_005","Rodentia","fb_1023",-1.72817949099993,52.097357489,1,31.6,24.5,4.94,48,43.27,NA
"sp_006","Rodentia","fb_100",5.77182050900007,59.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_1010",-8.22817949099993,52.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_1017",-4.72817949099993,52.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_1001",20.7718205090001,52.597357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_1026",-0.228179490999928,52.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_1020",-3.22817949099993,52.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_1000",20.2718205090001,52.597357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_1040",6.77182050900007,52.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_103",7.27182050900007,59.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_1038",5.77182050900007,52.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_1035",4.27182050900007,52.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_101",6.27182050900007,59.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_1008",-9.22817949099993,52.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_1028",0.771820509000072,52.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_1023",-1.72817949099993,52.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_1039",6.27182050900007,52.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_1024",-1.22817949099993,52.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_1007",-9.72817949099993,52.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_102",6.77182050900007,59.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_1021",-2.72817949099993,52.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_1037",5.27182050900007,52.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_1011",-7.72817949099993,52.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_1027",0.271820509000072,52.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_1036",4.77182050900007,52.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_1029",1.27182050900007,52.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_1002",21.2718205090001,52.597357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_1025",-0.728179490999928,52.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_1022",-2.22817949099993,52.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_1019",-3.72817949099993,52.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_1009",-8.72817949099993,52.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_1018",-4.22817949099993,52.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_006","Rodentia","fb_104",7.77182050900007,59.097357489,1,21.9,23.68,5.16,52.8,57.93,4
"sp_010","Chiroptera","fb_1017",-4.72817949099993,52.097357489,1,8.31,NA,1.73,252,NA,1
"sp_010","Chiroptera","fb_1001",20.7718205090001,52.597357489,1,8.31,NA,1.73,252,NA,1
"sp_010","Chiroptera","fb_1038",5.77182050900007,52.097357489,1,8.31,NA,1.73,252,NA,1
"sp_010","Chiroptera","fb_1000",20.2718205090001,52.597357489,1,8.31,NA,1.73,252,NA,1
"sp_010","Chiroptera","fb_1025",-0.728179490999928,52.097357489,1,8.31,NA,1.73,252,NA,1
"sp_010","Chiroptera","fb_1023",-1.72817949099993,52.097357489,1,8.31,NA,1.73,252,NA,1
"sp_010","Chiroptera","fb_1021",-2.72817949099993,52.097357489,1,8.31,NA,1.73,252,NA,1
"sp_010","Chiroptera","fb_1035",4.27182050900007,52.097357489,1,8.31,NA,1.73,252,NA,1
"sp_010","Chiroptera","fb_1037",5.27182050900007,52.097357489,1,8.31,NA,1.73,252,NA,1
"sp_010","Chiroptera","fb_1040",6.77182050900007,52.097357489,1,8.31,NA,1.73,252,NA,1
"sp_010","Chiroptera","fb_1027",0.271820509000072,52.097357489,1,8.31,NA,1.73,252,NA,1
"sp_010","Chiroptera","fb_1019",-3.72817949099993,52.097357489,1,8.31,NA,1.73,252,NA,1
"sp_010","Chiroptera","fb_1039",6.27182050900007,52.097357489,1,8.31,NA,1.73,252,NA,1
"sp_010","Chiroptera","fb_1018",-4.22817949099993,52.097357489,1,8.31,NA,1.73,252,NA,1
"sp_010","Chiroptera","fb_1029",1.27182050900007,52.097357489,1,8.31,NA,1.73,252,NA,1
"sp_010","Chiroptera","fb_1024",-1.22817949099993,52.097357489,1,8.31,NA,1.73,252,NA,1
"sp_010","Chiroptera","fb_1022",-2.22817949099993,52.097357489,1,8.31,NA,1.73,252,NA,1
"sp_010","Chiroptera","fb_1002",21.2718205090001,52.597357489,1,8.31,NA,1.73,252,NA,1
"sp_010","Chiroptera","fb_1028",0.771820509000072,52.097357489,1,8.31,NA,1.73,252,NA,1
"sp_010","Chiroptera","fb_1026",-0.228179490999928,52.097357489,1,8.31,NA,1.73,252,NA,1
"sp_010","Chiroptera","fb_1036",4.77182050900007,52.097357489,1,8.31,NA,1.73,252,NA,1
"sp_010","Chiroptera","fb_1020",-3.22817949099993,52.097357489,1,8.31,NA,1.73,252,NA,1
"sp_013","Carnivora","fb_1040",6.77182050900007,52.097357489,1,31756.51,63.5,4.98,354,679.37,1
"sp_013","Carnivora","fb_103",7.27182050900007,59.097357489,1,31756.51,63.5,4.98,354,679.37,1
"sp_013","Carnivora","fb_104",7.77182050900007,59.097357489,1,31756.51,63.5,4.98,354,679.37,1
"sp_013","Carnivora","fb_1001",20.7718205090001,52.597357489,1,31756.51,63.5,4.98,354,679.37,1
"sp_013","Carnivora","fb_101",6.27182050900007,59.097357489,1,31756.51,63.5,4.98,354,679.37,1
"sp_013","Carnivora","fb_1002",21.2718205090001,52.597357489,1,31756.51,63.5,4.98,354,679.37,1
"sp_013","Carnivora","fb_1000",20.2718205090001,52.597357489,1,31756.51,63.5,4.98,354,679.37,1
"sp_013","Carnivora","fb_102",6.77182050900007,59.097357489,1,31756.51,63.5,4.98,354,679.37,1
"sp_016","Cetartiodactyla","fb_1019",-3.72817949099993,52.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1000",20.2718205090001,52.597357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1027",0.271820509000072,52.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1038",5.77182050900007,52.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1023",-1.72817949099993,52.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1002",21.2718205090001,52.597357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1024",-1.22817949099993,52.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1021",-2.72817949099993,52.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1020",-3.22817949099993,52.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1022",-2.22817949099993,52.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1028",0.771820509000072,52.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1040",6.77182050900007,52.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_103",7.27182050900007,59.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1026",-0.228179490999928,52.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_101",6.27182050900007,59.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1039",6.27182050900007,52.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1025",-0.728179490999928,52.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1035",4.27182050900007,52.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1029",1.27182050900007,52.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_104",7.77182050900007,59.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1036",4.77182050900007,52.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1037",5.27182050900007,52.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_1001",20.7718205090001,52.597357489,1,22502.01,196,1.79,204,400.97,NA
"sp_016","Cetartiodactyla","fb_102",6.77182050900007,59.097357489,1,22502.01,196,1.79,204,400.97,NA
"sp_017","Cetartiodactyla","fb_1022",-2.22817949099993,52.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_1025",-0.728179490999928,52.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_1040",6.77182050900007,52.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_102",6.77182050900007,59.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_1028",0.771820509000072,52.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_1023",-1.72817949099993,52.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_1007",-9.72817949099993,52.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_1026",-0.228179490999928,52.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_101",6.27182050900007,59.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_1027",0.271820509000072,52.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_1002",21.2718205090001,52.597357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_1024",-1.22817949099993,52.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_1001",20.7718205090001,52.597357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_1038",5.77182050900007,52.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_103",7.27182050900007,59.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_104",7.77182050900007,59.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_1029",1.27182050900007,52.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_1000",20.2718205090001,52.597357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_017","Cetartiodactyla","fb_1039",6.27182050900007,52.097357489,1,240867.13,235.61,1.09,321.6,659.91,5
"sp_022","Eulipotyphla","fb_1039",6.27182050900007,52.097357489,1,9.89,29,4.04,38.4,66.88,2
"sp_022","Eulipotyphla","fb_1040",6.77182050900007,52.097357489,1,9.89,29,4.04,38.4,66.88,2
"sp_022","Eulipotyphla","fb_1038",5.77182050900007,52.097357489,1,9.89,29,4.04,38.4,66.88,2
"sp_022","Eulipotyphla","fb_1036",4.77182050900007,52.097357489,1,9.89,29,4.04,38.4,66.88,2
"sp_022","Eulipotyphla","fb_1035",4.27182050900007,52.097357489,1,9.89,29,4.04,38.4,66.88,2
"sp_022","Eulipotyphla","fb_1037",5.27182050900007,52.097357489,1,9.89,29,4.04,38.4,66.88,2
"sp_026","Cetartiodactyla","fb_1025",-0.728179490999928,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1038",5.77182050900007,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1020",-3.22817949099993,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1010",-8.22817949099993,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1035",4.27182050900007,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1021",-2.72817949099993,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1019",-3.72817949099993,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1000",20.2718205090001,52.597357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1007",-9.72817949099993,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1023",-1.72817949099993,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1028",0.771820509000072,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1040",6.77182050900007,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1008",-9.22817949099993,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1017",-4.72817949099993,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1027",0.271820509000072,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1026",-0.228179490999928,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1029",1.27182050900007,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1039",6.27182050900007,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1002",21.2718205090001,52.597357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1022",-2.22817949099993,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1011",-7.72817949099993,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1037",5.27182050900007,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1036",4.77182050900007,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1024",-1.22817949099993,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1018",-4.22817949099993,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1001",20.7718205090001,52.597357489,1,57224.61,230,1,300,543.28,2
"sp_026","Cetartiodactyla","fb_1009",-8.72817949099993,52.097357489,1,57224.61,230,1,300,543.28,2
"sp_032","Chiroptera","fb_1002",21.2718205090001,52.597357489,1,10.72,NA,1.5,186,NA,1
"sp_032","Chiroptera","fb_104",7.77182050900007,59.097357489,1,10.72,NA,1.5,186,NA,1
"sp_032","Chiroptera","fb_1001",20.7718205090001,52.597357489,1,10.72,NA,1.5,186,NA,1
"sp_032","Chiroptera","fb_102",6.77182050900007,59.097357489,1,10.72,NA,1.5,186,NA,1
"sp_032","Chiroptera","fb_103",7.27182050900007,59.097357489,1,10.72,NA,1.5,186,NA,1
"sp_032","Chiroptera","fb_1000",20.2718205090001,52.597357489,1,10.72,NA,1.5,186,NA,1
"sp_032","Chiroptera","fb_101",6.27182050900007,59.097357489,1,10.72,NA,1.5,186,NA,1
"sp_033","Eulipotyphla","fb_104",7.77182050900007,59.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1010",-8.22817949099993,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1035",4.27182050900007,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1011",-7.72817949099993,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1018",-4.22817949099993,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1029",1.27182050900007,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1025",-0.728179490999928,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_103",7.27182050900007,59.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1020",-3.22817949099993,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1038",5.77182050900007,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_102",6.77182050900007,59.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_101",6.27182050900007,59.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1028",0.771820509000072,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1023",-1.72817949099993,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1036",4.77182050900007,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1017",-4.72817949099993,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1026",-0.228179490999928,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1009",-8.72817949099993,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_100",5.77182050900007,59.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1040",6.77182050900007,52.097357489,1,777.95,36.98,4.64,168,265.8,8
"sp_033","Eulipotyphla","fb_1022",-2.22817949099993,52.097357489,1,777.95,36.98,4.64,168,265.8,8
